fold,bnh_sharpe,contra_sharpe,hybrid_sharpe,bnh_return,hybrid_return,test_size
1,-0.137462649556511,5.09017762202261,1.3142166300503848,-0.008961171692482704,0.041449405045814125,12399
2,2.6583087166160286,7.088827319398167,3.6416901996683193,0.15081162311816562,0.10441190134690895,12399
3,4.995586338036615,2.6318218107310782,5.4030902752282834,0.3209385023900404,0.1738204815776419,12399
4,4.884146414771348,-2.326804294258193,3.890284629175637,0.35386051485030456,0.15398810496452858,12399
5,5.482862146045036,8.78805051727954,7.795484777079473,0.4390047180702665,0.3296350377413877,12399
